series_type,series_id,timestamp,forecast_revenue,lower_80,upper_80,model,model_artifact
category,Pet Supplies,2018-09-09,6621.53369140625,5425.418516601563,9240.43075,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\category_pet_supplies.json
category,Pet Supplies,2018-09-16,6533.271484375,5337.156309570313,9152.16854296875,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\category_pet_supplies.json
category,Pet Supplies,2018-09-23,6663.970703125,5467.855528320313,9282.86776171875,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\category_pet_supplies.json
category,Phones & Telecom,2018-09-02,12184.984375,9041.1542578125,16713.58455078125,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\category_phones_telecom.json
category,Phones & Telecom,2018-09-09,13879.763671875,10735.9335546875,18408.36384765625,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\category_phones_telecom.json
category,Phones & Telecom,2018-09-16,12289.5810546875,9145.7509375,16818.18123046875,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\category_phones_telecom.json
category,Phones & Telecom,2018-09-23,4803.73876953125,1659.90865234375,9332.3389453125,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\category_phones_telecom.json
category,Sports & Leisure,2018-09-02,12046.37890625,7717.644039062499,19664.134382812506,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\category_sports_leisure.json
category,Sports & Leisure,2018-09-09,13986.0341796875,9657.2993125,21603.789656250006,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\category_sports_leisure.json
category,Sports & Leisure,2018-09-16,13474.3369140625,9145.602046875,21092.092390625006,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\category_sports_leisure.json
category,Sports & Leisure,2018-09-23,16787.875,12459.1401328125,24405.630476562506,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\category_sports_leisure.json
region,Central-West,2018-09-02,14907.9638671875,8008.398796875001,19532.39793359375,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\region_central_west.json
region,Central-West,2018-09-09,14280.173828125,7380.608757812501,18904.60789453125,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\region_central_west.json
region,Central-West,2018-09-16,16676.52734375,9776.9622734375,21300.96141015625,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\region_central_west.json
region,Central-West,2018-09-23,12310.73828125,5411.173210937501,16935.17234765625,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\region_central_west.json
region,North,2018-09-02,4616.28125,2512.899986328125,8444.813594238283,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\region_north.json
region,North,2018-09-09,5318.46142578125,3215.080162109375,9146.993770019533,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\region_north.json
region,North,2018-09-16,5621.375,3517.993736328125,9449.907344238283,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\region_north.json
region,North,2018-09-23,3984.300048828125,1880.9187851562501,7812.832393066408,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\region_north.json
region,Northeast,2018-09-02,25858.861328125,18112.94296875,35847.7134609375,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\region_northeast.json
region,Northeast,2018-09-09,34560.76171875,26814.843359375,44549.6138515625,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\region_northeast.json
region,Northeast,2018-09-16,34958.78515625,27212.866796875,44947.6372890625,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\region_northeast.json
region,Northeast,2018-09-23,21904.794921875,14158.876562500001,31893.6470546875,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\region_northeast.json
region,South,2018-09-02,27466.703125,8804.291070312502,41697.890781250004,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\region_south.json
region,South,2018-09-09,24408.23046875,5745.818414062502,38639.418125000004,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\region_south.json
region,South,2018-09-16,34201.58984375,15539.177789062502,48432.777500000004,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\region_south.json
region,South,2018-09-23,31406.560546875,12744.148492187502,45637.748203125004,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\region_south.json
region,Southeast,2018-09-02,143386.8125,89486.1606875,194955.83659375002,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\region_southeast.json
region,Southeast,2018-09-09,184949.0,131048.3481875,236518.02409375002,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\region_southeast.json
region,Southeast,2018-09-16,203007.21875,149106.5669375,254576.24284375002,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\region_southeast.json
region,Southeast,2018-09-23,194897.03125,140996.3794375,246466.05534375002,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\region_southeast.json
