series_type,series_id,forecast_timestamp,forecast_revenue,base_value,up_1_feature,up_1_shap,down_1_feature,down_1_shap,up_2_feature,up_2_shap,down_2_feature,down_2_shap,up_3_feature,up_3_shap,down_3_feature,down_3_shap,up_4_feature,up_4_shap,down_4_feature,down_4_shap,up_5_feature,up_5_shap,down_5_feature,down_5_shap
category,"Office, Business & Services",2018-09-09,10928.0517578125,9239.1494140625,rolling_mean_4,1733.405517578125,week_sin,-1309.72705078125,lag_52,1171.9903564453125,week_of_year,-702.627685546875,days_to_month_end,585.7338256835938,rolling_std_4,-192.52462768554688,lag_4,314.5270080566406,month_sin,-99.19218444824219,lag_1,96.18425750732422,month,-18.944927215576172
category,"Office, Business & Services",2018-09-16,9693.8447265625,9239.1494140625,rolling_mean_4,1268.97900390625,week_sin,-1127.3519287109375,lag_52,1174.7752685546875,week_of_year,-621.3682861328125,lag_1,122.61022186279297,days_to_month_end,-286.5644836425781,rolling_std_4,108.89430236816406,lag_4,-157.49917602539062,month_cos,62.231632232666016,month_sin,-90.28329467773438
category,"Office, Business & Services",2018-09-23,10001.994140625,9239.1494140625,rolling_mean_4,1592.66259765625,week_sin,-1128.3228759765625,lag_52,813.0386352539062,week_of_year,-590.320068359375,lag_1,405.4596252441406,lag_4,-261.29339599609375,rolling_std_4,146.52618408203125,days_to_month_end,-173.5908966064453,month_cos,59.63136672973633,month_sin,-106.79154205322266
category,Pet Supplies,2018-09-02,6458.49951171875,2904.0263671875,lag_52,1351.379638671875,lag_4,-55.7783203125,rolling_std_4,672.6315307617188,quarter,-0.0629037618637085,week_sin,354.0885925292969,,,week_of_year,245.9412841796875,,,days_to_month_end,226.68133544921875,,
category,Pet Supplies,2018-09-09,6621.53369140625,2904.0263671875,lag_52,1399.7410888671875,lag_4,-209.18618774414062,lag_1,1208.4532470703125,week_cos,-145.0683135986328,rolling_std_4,778.5875854492188,days_to_month_end,-67.30709075927734,week_of_year,313.17083740234375,week_sin,-59.75224304199219,month_sin,147.45286560058594,,
category,Pet Supplies,2018-09-16,6533.271484375,2904.0263671875,lag_52,1307.1490478515625,lag_4,-217.66091918945312,lag_1,1231.1572265625,week_cos,-113.0448226928711,rolling_std_4,677.1777954101562,week_sin,-67.18086242675781,week_of_year,298.4926452636719,,,month_sin,152.60325622558594,,
category,Pet Supplies,2018-09-23,6663.970703125,2904.0263671875,lag_52,1365.314208984375,week_sin,-145.78004455566406,lag_1,1245.1224365234375,week_cos,-110.58366394042969,week_of_year,435.2943420410156,,,lag_4,270.5209655761719,,,year,181.0626983642578,,
category,Phones & Telecom,2018-09-02,12184.984375,5233.02587890625,lag_52,3952.936767578125,days_to_month_end,-157.2344970703125,week_sin,1539.04443359375,week_of_year,-128.2853240966797,rolling_mean_4,1305.0225830078125,lag_1,-26.644290924072266,lag_4,245.2959747314453,week_cos,-11.164518356323242,month,136.00523376464844,rolling_std_4,-4.807265281677246
category,Phones & Telecom,2018-09-09,13879.763671875,5233.02587890625,lag_52,3797.90673828125,week_of_year,-75.93790435791016,week_sin,1774.993408203125,week_cos,-17.642297744750977,rolling_mean_4,1090.751220703125,month_sin,-5.620092868804932,days_to_month_end,888.97021484375,rolling_std_4,-4.135695934295654,lag_1,630.83935546875,quarter,-2.4810025691986084
category,Phones & Telecom,2018-09-16,12289.5810546875,5233.02587890625,lag_52,3914.75341796875,days_to_month_end,-158.06591796875,week_sin,1544.9246826171875,week_of_year,-81.43391418457031,rolling_mean_4,1033.2509765625,month_sin,-56.15463638305664,lag_1,612.4443969726562,week_cos,-38.39390563964844,month,195.65504455566406,rolling_std_4,-12.664701461791992
category,Phones & Telecom,2018-09-23,4803.73876953125,5233.02587890625,rolling_mean_4,557.0926513671875,lag_52,-747.692626953125,lag_1,182.1521759033203,days_to_month_end,-457.7776184082031,week_sin,176.63638305664062,rolling_std_4,-123.04440307617188,month_sin,128.39190673828125,week_of_year,-109.66761016845703,year,47.19193649291992,lag_4,-72.58912658691406
category,Sports & Leisure,2018-09-02,12046.37890625,13121.7021484375,rolling_mean_4,1250.7138671875,lag_1,-1325.5933837890625,lag_4,332.7830505371094,week_of_year,-1007.85546875,month,158.1510772705078,lag_52,-378.0348815917969,week_cos,115.90665435791016,days_to_month_end,-279.428466796875,rolling_std_4,92.20710754394531,week_sin,-63.892757415771484
category,Sports & Leisure,2018-09-09,13986.0341796875,13121.7021484375,rolling_mean_4,1361.71533203125,lag_1,-1847.4288330078125,lag_52,903.4243774414062,week_of_year,-905.8671875,lag_4,366.1233215332031,,,week_sin,284.1507873535156,,,month,162.89572143554688,,
category,Sports & Leisure,2018-09-16,13474.3369140625,13121.7021484375,lag_52,941.249755859375,week_of_year,-1819.3758544921875,rolling_mean_4,899.5097045898438,lag_4,-640.1541137695312,lag_1,695.887939453125,week_sin,-447.8211669921875,days_to_month_end,157.9268035888672,,,month_sin,148.72738647460938,,
category,Sports & Leisure,2018-09-23,16787.875,13121.7021484375,rolling_mean_4,1329.1954345703125,week_of_year,-1437.10009765625,lag_52,1142.299072265625,days_to_month_end,-20.91672706604004,lag_1,1082.313720703125,,,week_sin,721.422607421875,,,month,238.12564086914062,,
region,Central-West,2018-09-02,14907.9638671875,11566.7783203125,lag_52,2167.822509765625,lag_1,-707.8795166015625,rolling_mean_4,1402.2147216796875,week_sin,-389.11102294921875,days_to_month_end,686.837158203125,rolling_std_4,-370.7096862792969,month_sin,332.1285400390625,week_of_year,-112.52964782714844,month,233.51666259765625,month_cos,-44.43705749511719
region,Central-West,2018-09-09,14280.173828125,11566.7783203125,rolling_mean_4,1463.8623046875,rolling_std_4,-648.8424682617188,lag_1,1246.91650390625,week_sin,-543.6567993164062,lag_52,683.6611328125,week_of_year,-117.31401824951172,month,318.15740966796875,lag_4,-81.76586151123047,month_sin,278.10748291015625,month_cos,-41.65633773803711
region,Central-West,2018-09-16,16676.52734375,11566.7783203125,lag_52,1796.176025390625,week_sin,-751.2125244140625,lag_1,1071.3304443359375,days_to_month_end,-148.22268676757812,lag_4,1050.3223876953125,week_of_year,-132.344970703125,rolling_mean_4,940.9796142578125,month_cos,-33.8314323425293,rolling_std_4,676.7428588867188,,
region,Central-West,2018-09-23,12310.73828125,11566.7783203125,lag_1,738.1903076171875,rolling_std_4,-747.8812255859375,rolling_mean_4,691.4676513671875,week_sin,-659.7800903320312,lag_4,421.07745361328125,days_to_month_end,-469.7377014160156,lag_52,329.8727722167969,week_of_year,-123.30292510986328,month,295.2882385253906,month_cos,-35.6519660949707
region,North,2018-09-02,4616.28125,4673.06591796875,days_to_month_end,955.5113525390625,lag_1,-1188.36865234375,rolling_mean_4,384.9957580566406,lag_4,-548.343994140625,lag_52,151.46829223632812,rolling_std_4,-145.5260009765625,week_cos,151.10902404785156,week_of_year,-13.775077819824219,year,91.62957000732422,,
region,North,2018-09-09,5318.46142578125,4673.06591796875,lag_52,484.0650329589844,lag_1,-226.71563720703125,days_to_month_end,153.5848388671875,week_sin,-177.9259490966797,rolling_mean_4,115.27427673339844,week_of_year,-34.119625091552734,year,86.62483215332031,,,week_cos,72.17167663574219,,
region,North,2018-09-16,5621.375,4673.06591796875,lag_1,644.3404541015625,days_to_month_end,-290.8148498535156,lag_52,410.23333740234375,rolling_std_4,-104.7914047241211,lag_4,171.33201599121094,week_sin,-46.89104080200195,year,99.73978424072266,rolling_mean_4,-21.655227661132812,month_sin,63.31158447265625,week_of_year,-5.447284698486328
region,North,2018-09-23,3984.300048828125,4673.06591796875,lag_52,345.4139099121094,lag_4,-760.4952392578125,lag_1,296.2613830566406,days_to_month_end,-555.4940795898438,year,103.50331115722656,week_sin,-198.6048126220703,month_sin,67.71391296386719,rolling_std_4,-86.48210906982422,week_cos,26.534564971923828,,
region,Northeast,2018-09-02,25858.861328125,21417.42578125,rolling_mean_4,3172.25439453125,lag_1,-1647.8736572265625,month_sin,2532.0146484375,rolling_std_4,-1251.4793701171875,lag_52,987.1869506835938,week_sin,-1026.1072998046875,lag_4,603.3252563476562,,,week_cos,510.29248046875,,
region,Northeast,2018-09-09,34560.76171875,21417.42578125,rolling_mean_4,7834.72119140625,week_sin,-2275.313232421875,lag_1,3157.750732421875,rolling_std_4,-2158.24853515625,month_sin,1971.3892822265625,,,lag_52,1413.4422607421875,,,lag_4,1391.6402587890625,,
