series_type,series_id,forecast_timestamp,forecast_revenue,feature,feature_value,shap_value,direction,base_value
category,Beauty & Health,2018-09-02,28674.123046875,year,2018.0,868.6971435546875,up,21556.576171875
category,Beauty & Health,2018-09-02,28674.123046875,month,9.0,577.9328002929688,up,21556.576171875
category,Beauty & Health,2018-09-02,28674.123046875,quarter,3.0,2.8940775394439697,up,21556.576171875
category,Beauty & Health,2018-09-02,28674.123046875,week_of_year,35.0,2.9643261432647705,up,21556.576171875
category,Beauty & Health,2018-09-02,28674.123046875,day_of_week,6.0,0.0,neutral,21556.576171875
category,Beauty & Health,2018-09-02,28674.123046875,is_weekend,1.0,0.0,neutral,21556.576171875
category,Beauty & Health,2018-09-02,28674.123046875,days_to_month_end,28.0,493.5580749511719,up,21556.576171875
category,Beauty & Health,2018-09-02,28674.123046875,month_sin,-1.0,-501.9917297363281,down,21556.576171875
category,Beauty & Health,2018-09-02,28674.123046875,month_cos,-1.8369701987210297e-16,12.82494831085205,up,21556.576171875
category,Beauty & Health,2018-09-02,28674.123046875,week_sin,-0.8854560256532096,481.9429931640625,up,21556.576171875
category,Beauty & Health,2018-09-02,28674.123046875,week_cos,-0.4647231720437691,234.71755981445312,up,21556.576171875
category,Beauty & Health,2018-09-09,32545.7890625,lag_1,28674.123046875,4743.82373046875,up,21556.576171875
category,Beauty & Health,2018-09-09,32545.7890625,lag_4,52579.11,243.9645538330078,up,21556.576171875
category,Beauty & Health,2018-09-09,32545.7890625,lag_52,18478.73,2845.927734375,up,21556.576171875
category,Beauty & Health,2018-09-09,32545.7890625,rolling_mean_4,38816.93576171875,-1364.6060791015625,down,21556.576171875
category,Beauty & Health,2018-09-09,32545.7890625,rolling_std_4,11526.212818498076,337.1461486816406,up,21556.576171875
category,Beauty & Health,2018-09-09,32545.7890625,year,2018.0,959.550537109375,up,21556.576171875
category,Beauty & Health,2018-09-09,32545.7890625,month,9.0,708.2210083007812,up,21556.576171875
category,Beauty & Health,2018-09-09,32545.7890625,quarter,3.0,2.8940775394439697,up,21556.576171875
category,Beauty & Health,2018-09-09,32545.7890625,week_of_year,36.0,18.543163299560547,up,21556.576171875
category,Beauty & Health,2018-09-09,32545.7890625,day_of_week,6.0,0.0,neutral,21556.576171875
category,Beauty & Health,2018-09-09,32545.7890625,is_weekend,1.0,0.0,neutral,21556.576171875
category,Beauty & Health,2018-09-09,32545.7890625,days_to_month_end,21.0,2201.2197265625,up,21556.576171875
category,Beauty & Health,2018-09-09,32545.7890625,month_sin,-1.0,-501.7256164550781,down,21556.576171875
category,Beauty & Health,2018-09-09,32545.7890625,month_cos,-1.8369701987210297e-16,2.887437343597412,up,21556.576171875
category,Beauty & Health,2018-09-09,32545.7890625,week_sin,-0.9350162426854147,597.499267578125,up,21556.576171875
category,Beauty & Health,2018-09-09,32545.7890625,week_cos,-0.3546048870425359,193.86129760742188,up,21556.576171875
category,Beauty & Health,2018-09-16,29002.4765625,lag_1,32545.7890625,4087.8681640625,up,21556.576171875
category,Beauty & Health,2018-09-16,29002.4765625,lag_4,44069.01,8.119979858398438,up,21556.576171875
category,Beauty & Health,2018-09-16,29002.4765625,lag_52,21913.45,2334.01953125,up,21556.576171875
category,Beauty & Health,2018-09-16,29002.4765625,rolling_mean_4,33808.60552734375,-1099.8568115234375,down,21556.576171875
category,Beauty & Health,2018-09-16,29002.4765625,rolling_std_4,7027.495998434038,219.27615356445312,up,21556.576171875
category,Beauty & Health,2018-09-16,29002.4765625,year,2018.0,919.952392578125,up,21556.576171875
category,Beauty & Health,2018-09-16,29002.4765625,month,9.0,705.220458984375,up,21556.576171875
category,Beauty & Health,2018-09-16,29002.4765625,quarter,3.0,2.8940775394439697,up,21556.576171875
category,Beauty & Health,2018-09-16,29002.4765625,week_of_year,37.0,54.3883056640625,up,21556.576171875
category,Beauty & Health,2018-09-16,29002.4765625,day_of_week,6.0,0.0,neutral,21556.576171875
category,Beauty & Health,2018-09-16,29002.4765625,is_weekend,1.0,0.0,neutral,21556.576171875
category,Beauty & Health,2018-09-16,29002.4765625,days_to_month_end,14.0,232.7738494873047,up,21556.576171875
category,Beauty & Health,2018-09-16,29002.4765625,month_sin,-1.0,-514.6787109375,down,21556.576171875
category,Beauty & Health,2018-09-16,29002.4765625,month_cos,-1.8369701987210297e-16,0.16820776462554932,up,21556.576171875
