series_type,series_id,feature,reference_start,reference_end,current_start,current_end,comparison_type,ks_statistic,ks_p_value,psi,status
category,"Office, Business & Services",lag_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.9230769230769231,5.3476525352552624e-12,11.141550537767234,alert
category,"Office, Business & Services",rolling_mean_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,1.0,4.03292046399341e-15,12.096551408712614,alert
category,"Office, Business & Services",rolling_std_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.46153846153846156,0.007134100565905311,4.941284237226926,alert
category,Pet Supplies,target_revenue,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.7307692307692307,5.395424897903543e-07,7.143828694684256,alert
category,Pet Supplies,lag_1,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.7307692307692307,5.395424897903543e-07,8.089329681060793,alert
category,Pet Supplies,lag_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.7307692307692307,5.395424897903543e-07,8.197517294190922,alert
category,Pet Supplies,rolling_mean_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.9615384615384616,2.0971186412765735e-13,12.096551408712614,alert
category,Pet Supplies,rolling_std_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.34615384615384615,0.08850177745450963,1.4826969480083017,alert
category,Phones & Telecom,target_revenue,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.8076923076923077,1.0481398969100314e-08,8.393502005659307,alert
category,Phones & Telecom,lag_1,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.8461538461538461,1.091812392614616e-09,9.344975718578926,alert
category,Phones & Telecom,lag_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.8461538461538461,1.091812392614616e-09,11.141550537767234,alert
category,Phones & Telecom,rolling_mean_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,1.0,4.03292046399341e-15,12.096551408712614,alert
category,Phones & Telecom,rolling_std_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.5769230769230769,0.00024360343414034504,4.534591432125225,alert
